108.136.0.0/14,
108.156.0.0/14,
13.224.0.0/12,
13.32.0.0/12,
143.204.0.0/16,
146.75.0.0/16,
151.101.0.0/16,
18.154.0.0/15,
18.156.62.189/32,
18.161.0.0/16,
18.165.0.0/16,
18.172.0.0/15,
18.185.85.112/32,
18.239.0.0/16,
18.244.0.0/15,
18.66.0.0/15,
185.70.40.0/22,
199.232.0.0/16,
3.125.48.170/32,
3.160.0.0/14,
3.164.0.0/15,
3.166.0.0/16,
3.169.0.0/16,
3.173.0.0/16,
3.174.0.0/15,
3.68.80.83/32,
3.73.85.131/32,
52.222.0.0/16,
52.84.0.0/14,
54.192.0.0/16,
54.230.0.0/16,
54.239.0.0/16,
54.240.0.0/16,
65.8.0.0/14,
99.84.0.0/16,
99.86.0.0/16
